Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Jan Vitek,Purdue University,1999,Full,Algorithms & Theory,University of Geneva,University of Geneva
Jeffrey M. Siskind,Purdue University,2009,Associate,Software Engineering,Technion-Israel Institute of Technology,Massachusetts Institute of Technology
Jennifer Neville,Purdue University,2006,Associate,Data Mining,University of Massachusetts - Amherst,University of Massachusetts - Amherst
Luo Si,Purdue University,2006,Associate,Machine Learning & Pattern Recognition,Tsinghua University - Beijing,Carnegie Mellon University
Mikhail Atallah,Purdue University,1982,Full,Security & Privacy,American University - Beirut,Johns Hopkins University
Ninghui Li,Purdue University,2003,Associate,Security & Privacy,University of Science and Technology of China,New York University
Olga Vitek,Purdue University,2006,Associate,Scientific Computing,University of Geneva,Purdue University
Ramana Kompella,Purdue University,2007,Associate,Networks & Communications,Indian Institute of Technology - Bombay,University of California - San Diego
Robert D. Skeel,Purdue University,2004,Full,Bioinformatics & Computational Biology,University of Alberta,University of Alberta
S. V. N. Vishwanathan,Purdue University,2008,Associate,Machine Learning & Pattern Recognition,Maharaja Sayajirao University of Baroda,Indian Institute of Science - Bangalore
Sabre Kais,Purdue University,2005,Full,Scientific Computing,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Samuel Wagstaff,Purdue University,1983,Full,Security & Privacy,Massachusetts Institute of Technology,Cornell University
Saugata Basu,Purdue University,2008,Full,Scientific Computing,Indian Institute of Technology - Kharagpur,New York University
Sonia Fahmy,Purdue University,1999,Full,Networks & Communications,American University - Cairo,Ohio State University
Sunil Prabhakar,Purdue University,1998,Full,Databases,Indian Institute of Technology - Delhi,University of California - Santa Barbara
Suresh Jagannathan,Purdue University,2002,Full,Programming Languages,State University of New York - Stony Brook,Massachusetts Institute of Technology
T. N. Vijaykumar,Purdue University,2003,Full,Hardware & Architecture,Birla Institute of Technology and Science - Pilani,University of Wisconsin - Madison
Tony Hosking,Purdue University,1995,Associate,Programming Languages,University of Adelaide,University of Massachusetts - Amherst
Walid Aref,Purdue University,1999,Full,Databases,Alexandria University,University of Maryland - College Park
Xavier Tricoche,Purdue University,2007,Assistant,Graphics,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble,University of Kaiserslautern
Xiangyu Zhang,Purdue University,2006,Associate,Software Engineering,University of Science and Technology of China,University of Arizona
Yi Wu,Purdue University,2012,Assistant,Algorithms & Theory,Tsinghua University - Beijing,Carnegie Mellon University
Yung-Hsiang Lu,Purdue University,2004,Associate,Hardware & Architecture,National Taiwan University - Taipei,Stanford University
Zhiyuan Li,Purdue University,1997,Full,Distributed & Parallel Computing,Xiamen University,University of Illinois at Urbana-Champaign
Ana Milanova,Rensselaer Polytechnic Institute,2009,Associate,Software Engineering,American University,Rutgers - State University of New Jersey - New Brunswick
Charles Stewart,Rensselaer Polytechnic Institute,,Full,Computer Vision,Williams College,University of Wisconsin - Madison
Christopher Bystroff,Rensselaer Polytechnic Institute,,Associate,Bioinformatics & Computational Biology,Carleton College,University of California - San Diego
Christopher Carothers,Rensselaer Polytechnic Institute,2005,Full,Distributed & Parallel Computing,Georgia Institute of Technology,Georgia Institute of Technology
David Spooner,Rensselaer Polytechnic Institute,,Full,Security & Privacy,Pennsylvania State University,Pennsylvania State University
Elliot Anshelevich,Rensselaer Polytechnic Institute,1996,Associate,Algorithms & Theory,Rice University,Cornell University
Francine Berman,Rensselaer Polytechnic Institute,2009,Full,Scientific Computing,University of California - Los Angeles,University of Washington
Heng Ji,Rensselaer Polytechnic Institute,2008,Associate,Natural Language & Speech,Tsinghua University - Beijing,New York University
Jeff Trinkle,Rensselaer Polytechnic Institute,2003,Full,Human-Computer Interaction,Georgia Institute of Technology,University of Pennsylvania
Jim Hendler,Rensselaer Polytechnic Institute,,Associate,Artificial Intelligence,Yale University,Brown University
Lirong Xia,Rensselaer Polytechnic Institute,2013,Assistant,Artificial Intelligence,Tsinghua University - Beijing,Duke University
Malik Magdon-Ismail,Rensselaer Polytechnic Institute,,Full,Machine Learning & Pattern Recognition,Yale University,California Institute of Technology
Martin Hardwick,Rensselaer Polytechnic Institute,1989,Full,Software Engineering,University of Bristol,University of Bristol
Petros Drineas,Rensselaer Polytechnic Institute,2009,Associate,Algorithms & Theory,University of Patras,Yale University
Ron Eglash,Rensselaer Polytechnic Institute,,Full,Scientific Computing,University of California - Los Angeles,University of California - Santa Cruz
Selmer Bringsjord,Rensselaer Polytechnic Institute,,Full,Artificial Intelligence,University of Pennsylvania,Brown University
Sibel Adali,Rensselaer Polytechnic Institute,2002,Associate,Networks & Communications,Bilkent University,University of Maryland - College Park
Stacy Patterson,Rensselaer Polytechnic Institute,2013,Assistant,Distributed & Parallel Computing,Rutgers - State University of New Jersey - New Brunswick,University of California - Santa Barbara
Wayne Gray,Rensselaer Polytechnic Institute,,Full,Computer Education,Lafayette College,University of California - Berkeley
Wm. Randolph Franklin,Rensselaer Polytechnic Institute,,Full,Graphics,University of Toronto,Harvard University
Alan L. Cox,Rice University,,Associate,Operating Systems,Carnegie Mellon University,University of Rochester
Chris M. Jermaine,Rice University,2010,Associate,Databases,University of California - San Diego,Georgia Institute of Technology
Dan S. Wallach,Rice University,,Full,Security & Privacy,University of California - Berkeley,Princeton University
David B. Johnson,Rice University,2005,Full,Networks & Communications,Rice University,Rice University
Devika Subramanian,Rice University,2003,Full,Machine Learning & Pattern Recognition,Indian Institute of Technology - Kharagpur,Stanford University
James McLurkin,Rice University,2009,Assistant,Distributed & Parallel Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Joe Warren,Rice University,1992,Full,Graphics,Rice University,Cornell University
John Mellor-Crummey,Rice University,,Full,Scientific Computing,Princeton University,University of Rochester
Keith D. Cooper,Rice University,,Full,Compilers,Rice University,Rice University
Luay K. Nakhleh,Rice University,2010,Associate,Bioinformatics & Computational Biology,Technion-Israel Institute of Technology,University of Texas - Austin
Lydia E. Kavraki,Rice University,,Full,Bioinformatics & Computational Biology,University of Crete,Stanford University
Moshe Y. Vardi,Rice University,1993,Full,Algorithms & Theory,Bar-Ilan University,Hebrew University of Jerusalem
Robert 'Corky' Cartwright,Rice University,1980,Full,Programming Languages,Harvard University,Stanford University
Ronald N. Goldman,Rice University,,Full,Graphics,Massachusetts Institute of Technology,Johns Hopkins University
Scott Cutler,Rice University,,Full,Hardware & Architecture,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Scott Rixner,Rice University,2004,Associate,Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Swarat Chaudhuri,Rice University,2011,Assistant,Algorithms & Theory,Indian Institute of Technology - Kharagpur,University of Pennsylvania
T. S. Eugene Ng,Rice University,,Associate,Networks & Communications,University of Washington,Carnegie Mellon University
Vivek Sarkar,Rice University,2007,Full,Scientific Computing,Indian Institute of Technology - Kanpur,Stanford University
Abhishek Bhattacharjee,Rutgers - State University of New Jersey - New Brunswick,2010,Assistant,Hardware & Architecture,McGill University - Montreal,Princeton University
Ahmed Elgammal,Rutgers - State University of New Jersey - New Brunswick,2002,Associate,Computer Vision,University of Alexandria,University of Maryland - College Park
Alex Borgida,Rutgers - State University of New Jersey - New Brunswick,1993,Full,Databases,University of Toronto,University of Toronto
Amelie Marian,Rutgers - State University of New Jersey - New Brunswick,2005,Associate,Databases,Paris Dauphine University,Columbia University
Apostolos Gerasoulis,Rutgers - State University of New Jersey - New Brunswick,1979,Full,Real-Time & Embedded Systems,Panepistimion Ioanninon,State University of New York - Stony Brook
Badri Nath,Rutgers - State University of New Jersey - New Brunswick,2000,Full,Networks & Communications,S.G.S.Institute of Technology and Science - Indore,University of Massachusetts - Amherst
Bahman Kalantari,Rutgers - State University of New Jersey - New Brunswick,,Full,Algorithms & Theory,University of Wisconsin - Madison,University of Minnesota - Twin Cities
